item, information link, buy link
Chicken Nugget Keychain, https://www.amazon.ca/TOYANDONA-Chicken-Keychain-Ornament-Pendant/dp/B0C3HFT4HP/ref=sr_1_6?crid=BIW9XWBWLYA0&dib=eyJ2IjoiMSJ9.zsdOVIjYaEB1_frfDuUrITDpANuRRYpRSRsVpk7t6zww2JHGMAqg19uNTqMft4294s3IasrnNX36X0UuclyJE4kz_Vyo02wvtOGu1WEqlCuFWRC0ju6nyHeoxYIXu-EMDMRbwk-AXq1LXdfDcshb1AcxB4fCDu4AFULtyjGfTjiQ9RScXURwI8ZfHCMGuoK7Kpam4-IlFC224xVySDPxBg8f878EmkWcJgcnwLoNStTf9Zn1AbAUtFTvX6m9jDner5c2r2mv3oXHz_zzUsuYTQqa5dEXwQ2Rb7iu5yEfM2A.6WdKsX2Djg9NfcMX4Tms3h9qS0eLO13d_zwIvnYAj0U&dib_tag=se&keywords=chicken+nugget&qid=1777348294&sprefix=chicken+nugget%2Caps%2C158&sr=8-6, http://adfoc.us/875782113253436
Exaggerated/Giant Spoon, https://www.amazon.com/FESTFENDS-Oversized-Giant-Plastic-Spoon/dp/B0GJQL28GK/ref=sr_1_2?crid=F3ZN6MEDJ31Y&dib=eyJ2IjoiMSJ9.noQtTyimrHgWvV25ZVDx0ZQsGz2wUA_tzj1VMofvyzmf_1iefklpCYpd-Cfta34q6pxiO2y9qF_fiUH5PVEVqNhCs71LhlVIvLhYAILfZaJicYyCoTDSEmmlfnwxbxCnf59fyE3FGff3UmEJ2wIt5PuEmfV9mjlbsqtAQBEPcfEy09firAYQvTMfW-uEUccRVx190f3U0hMGH5SNdDq95Pys8negdxxGlsR6QO1QIulFZU5dXF8Z3zAfKfq2unTFKZak2niGPtfnobH486AseuWfgCXxBMSV2gf0yqBIc4o.lC3Z2A-hk4ZQTTTxZAj1oSDHaWJDIkCUyQAX82DXMdI&dib_tag=se&keywords=massive+spoon&qid=1777348767&sprefix=massive+spoon%2Caps%2C276&sr=8-2, http://adfoc.us/875782113253450
Pet Rock, https://www.amazon.com/Rock-Buddy-Training-Manual-Bedding/dp/B0B2W1QDVV/ref=sr_1_7?crid=1RK1H682OETAV&dib=eyJ2IjoiMSJ9.ei9UR72V5r92vRrB8Y0axUZZQoH-4wP6V5Q1iOtWLQQxahtR7FgRClP9JpOKOxFo9ZabO3hj6xi3-5fhHzCDigJPhLLTYAKfIjQ2ibFMp6efiM-OTw7dWPNrxLhEzZg85RwITtoLd-1oAU85MM61fbNyn9pc0wVbqr2fhLPNLhWiAfleMvwn_TwUxGUkunqs8Q7VnJEopZDe4JQaW2OPqE-fDPNlvJKdjemlRmrywkXu5MtcrW2xYg2DwTzIH7-C9JSJT-Rt4RtiXWV10cPJnr1e3gl64TIzSvUGow4Esik.X62fQmzzPLMCcl-8YoK7APviPxt5JxF7Y_5T0Mixvy0&dib_tag=se&keywords=pet+rock&qid=1777348979&sprefix=pet+roc%2Caps%2C266&sr=8-7, http://adfoc.us/875782113253459
Squirrel Finger Puppet, https://www.amazon.com/Squirrel-Finger-Puppet-Toys-Set/dp/B08SBN1YJD/ref=sr_1_6?crid=2YKUP5398TGUU&dib=eyJ2IjoiMSJ9._FTi8lL64K0d_mW-ALvoaag-aliNwkhOMFclOgWfsx32g0XDmAc0qbb308wTDFKM0Jp3DBsJiyFsWuCIN3aI_np5ZdGObVdYjtoM485FDCHEZ07gTCaY6wI317mKnDunjn5hBgm9EOLh-H_UToANYrmgic5vVsJ9-Cc_m75WsWAuPwx-t2rseosJTiuXYRp2WR_f9s-9ZsLW8QB1ylY2ectdgdnEoZu3KsbglkOQyx14VZgX6CdtodrA435nHrvqFDxAvc5fKXeAEwPc2k3TjqBY9QLqxGpft-buSyA1qfQ.6jySyKl8uL_RJhbSs93GJ4pbqJvtp3OR9tTQWAq4pHo&dib_tag=se&keywords=useless+items&qid=1777349066&sprefix=useless+items%2Caps%2C234&sr=8-6, http://adfoc.us/875782113253460
Cat Plush, https://www.amazon.com/Sew-Butiful-Plushies-Decoration-Christmas/dp/B0D92N6WZH/ref=sxin_17_pa_sp_search_thematic_sspa?content-id=amzn1.sym.9a3e287f-4954-410d-ad08-8ae28dc40a36%3Aamzn1.sym.9a3e287f-4954-410d-ad08-8ae28dc40a36&crid=2YKUP5398TGUU&cv_ct_cx=useless%2Bitems&keywords=useless%2Bitems&pd_rd_i=B0D92N6WZH&pd_rd_r=f6253021-940e-419f-aa72-8659e4a9cc7f&pd_rd_w=5Gakb&pd_rd_wg=kTSSW&pf_rd_p=9a3e287f-4954-410d-ad08-8ae28dc40a36&pf_rd_r=NQ56EEQN6M1CDVXDMEK4&qid=1777349106&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=useless%2Bitems%2Caps%2C234&sr=1-2-6e60e730-e094-43e9-99e8-1a4854cd27ff-spons&aref=CG7xpIrx2H&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&th=1, http://adfoc.us/875782113253462
85in Burrito Tortilla Blanket, https://www.amazon.com/Elephant-Burrito-Tortilla-Blanket-Blankets/dp/B0D9XBC2PJ/ref=sr_1_2?crid=2GXWPTRFIWIQ5&dib=eyJ2IjoiMSJ9.MXOb8qkGbI0Q1Z-SmUNXpZ4ZHABukXNkMron57xvhuLuy1UpZNawKCBp-5sBNi3O6Y0KgzpQghIYm6CKH7dK3bqyR3syNv541DbIeR3W2brMn7PzDwdIA2hKGmfOzFvdOg10EyiYEnEXUVPYrQzrSJWFmTThv0wg_Mk12_4VI85hmUuBEuhVLlo6kedl4CIl.ujx_nOd8Yjt3dNqxmlxMwgqeL51TkT_oqDTfWFNVcPg&dib_tag=se&keywords=dumb%2Bthings%2Bto%2Bbuy&qid=1777349236&sprefix=dumb%2Bthings%2Bto%2Bbuy%2Caps%2C218&sr=8-2&th=1, http://adfoc.us/875782113253463
Poop Emoji Mini Waffle Maker, https://www.amazon.com/Poop-Emoji-Mini-Waffle-Maker/dp/B0BKH7VML7/ref=sr_1_13?crid=2GXWPTRFIWIQ5&dib=eyJ2IjoiMSJ9.MXOb8qkGbI0Q1Z-SmUNXpZ4ZHABukXNkMron57xvhuLuy1UpZNawKCBp-5sBNi3O6Y0KgzpQghIYm6CKH7dK3bqyR3syNv541DbIeR3W2brMn7PzDwdIA2hKGmfOzFvdOg10EyiYEnEXUVPYrQzrSJWFmTThv0wg_Mk12_4VI85hmUuBEuhVLlo6kedl4CIl.ujx_nOd8Yjt3dNqxmlxMwgqeL51TkT_oqDTfWFNVcPg&dib_tag=se&keywords=dumb+things+to+buy&qid=1777349274&sprefix=dumb+things+to+buy%2Caps%2C218&sr=8-13, http://adfoc.us/875782113253467
Macaroni and Cheese Scented Candle, https://www.amazon.com/Macaroni-Cheese-Scented-Candle-Friends/dp/B0BB1V77M4/ref=sr_1_1_sspa?crid=24JGFSQGAWQTD&dib=eyJ2IjoiMSJ9.JrIkuIG7GbEbLrUzQREnoNBY0ICblFbHGYroxwvsLf9n9BJa69iVEZ3TiCuQmxT4uY36w1Ho38IF7qErMgdtB_l83DgyCNLhGAga9X1RazC6bwmecjjQJCwifwQPbtwdyg9hGc0UCpzvB3xKdz0QOvwZbiSi5LVPkFKx7qMu1T5EBwS_NjdZTsv2YQswFFABw9RuqrFldwcxfj-V1NP3xTH0d4B27AHTGfNiDGt-xGWdZdtbnTJUH-HuOvAsDZohYOTIyfmJWbZ1hFO9StDXi3GlyWZNH0muYBYLXgOiPvo.UHEiUKkCF41I3remr4o45a8VOtICePE2vetaMUkIA3A&dib_tag=se&keywords=weird%2Bthings%2Bto%2Bbuy&qid=1777349365&sprefix=weird%2Bthings%2Bto%2Bbuy%2Caps%2C157&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1, http://adfoc.us/875782113253469
Crochet Positive Penis, https://www.amazon.com/LUMRRSK-Positive-Emotional-plushies-Motivational/dp/B0G37WDLS2/ref=sr_1_7?crid=24JGFSQGAWQTD&dib=eyJ2IjoiMSJ9.JrIkuIG7GbEbLrUzQREnoNBY0ICblFbHGYroxwvsLf9n9BJa69iVEZ3TiCuQmxT4uY36w1Ho38IF7qErMgdtB_l83DgyCNLhGAga9X1RazC6bwmecjjQJCwifwQPbtwdyg9hGc0UCpzvB3xKdz0QOvwZbiSi5LVPkFKx7qMu1T5EBwS_NjdZTsv2YQswFFABw9RuqrFldwcxfj-V1NP3xTH0d4B27AHTGfNiDGt-xGWdZdtbnTJUH-HuOvAsDZohYOTIyfmJWbZ1hFO9StDXi3GlyWZNH0muYBYLXgOiPvo.UHEiUKkCF41I3remr4o45a8VOtICePE2vetaMUkIA3A&dib_tag=se&keywords=weird%2Bthings%2Bto%2Bbuy&qid=1777349399&sprefix=weird%2Bthings%2Bto%2Bbuy%2Caps%2C157&sr=8-7&th=1, http://adfoc.us/875782113253471
CVS Receipt Scarf, https://www.amazon.com/CVS-Receipt-Scarf-Original-Double-Sided/dp/B07NF96R47/ref=sr_1_4_sspa?crid=24JGFSQGAWQTD&dib=eyJ2IjoiMSJ9.JrIkuIG7GbEbLrUzQREnoNBY0ICblFbHGYroxwvsLf9n9BJa69iVEZ3TiCuQmxT4uY36w1Ho38IF7qErMgdtB_l83DgyCNLhGAga9X1RazC6bwmecjjQJCwifwQPbtwdyg9hGc0UCpzvB3xKdz0QOvwZbiSi5LVPkFKx7qMu1T5EBwS_NjdZTsv2YQswFFABw9RuqrFldwcxfj-V1NP3xTH0d4B27AHTGfNiDGt-xGWdZdtbnTJUH-HuOvAsDZohYOTIyfmJWbZ1hFO9StDXi3GlyWZNH0muYBYLXgOiPvo.UHEiUKkCF41I3remr4o45a8VOtICePE2vetaMUkIA3A&dib_tag=se&keywords=weird+things+to+buy&qid=1777349399&sprefix=weird+things+to+buy%2Caps%2C157&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1, http://adfoc.us/875782113253472
